,Name,State_Province
0,University of Petroleum and Energy Studies,Dehradun
1,DAV Institute of Engineering & Technology,Punjab
2,Lovely Professional University,Punjab
3,NorthCap University,Haryana
4,Dharamsinh Desai University,Gujarat
5,University of Health Sciences Andhra Pradesh,Andhra Pradesh
6,Assam Agricultural University,Assam
7,Ahmedabad University,Gujarat
8,Alagappa University,Tamil Nadu
9,Allahabad University,Uttar Pradesh
10,Indian Board of Alternative Medicine,West Bengal
11,Amity University,Uttar Pradesh
12,Amrita Vishwa Vidyapeetham,Tamil Nadu
13,Aligarh Muslim University,Delhi
14,Andhra University,Andhra Pradesh
15,Annamalai University,Tamil Nadu
16,"Anna University of Technology, Tirunelveli",Tamil Nadu
17,Anna University,Tamil Nadu
18,Awadhesh Pratap Singh University,Madhya Pradesh
19,ARYA Institute of Engineering & Technology,Rajasthan
20,Assam University,Assam
21,Gujarat Ayurved University,Gujarat
22,Bengal Engineering College,West Bengal
23,Bangalore University,Karnataka
24,Bharathiar University,Tamil Nadu
25,Bharath Institue Of Higher Education & Research,Tamil Nadu
26,Banaras Hindu University,Uttar Pradesh
27,Orissa University of Agriculture and Technology,Odisha
28,"Birla Institute of Technology, Ranchi",Jharkhand
29,Birla Institute of Technology and Science,Rajasthan
30,B. R. Ambedkar Bihar University,Bihar
31,VIT Bhopal,Madhya Pradesh
32,University of Calcutta,West Bengal
33,Christ University,Karnataka
34,Cochin University of Science and Technology,Kerala
35,Tamil Nadu Agricultural University,Tamil Nadu
36,Delhi College of Engineering (DCE),Delhi
37,Dravidian University,Andhra Pradesh
38,University of Delhi,Delhi
39,Dr. D.Y. Patil University,Maharashtra
40,Fatima Mata National College,Kerala
41,Forest Research Institute Dehradun,Uttarakhand
42,"Global Open University , Nagaland",Nagaland
43,Gujarat Technological University Ahmedabad,Gujarat
44,Gujarat University Ahmedabad,Gujarat
45,CCS Haryana Agricultural University,Haryana
46,Himachal Pradesh Agricultural University,Himachal Pradesh
47,"Hidayatullah National Law University, Raipur",Chhattisgarh
48,Himachal Pradesh University,Himachal Pradesh
49,"ICFAI University, Dehradun",Dehradun
50,ICFAI University,Tripura
51,"ICFAI University, Sikkim",Sikkim
52,"ICFAI University, Mizoram",Mizoram
53,"ICFAI University, Meghalaya",Meghalaya
54,"ICFAI University, Jharkhand",Jharkhand
55,"ICFAI University, Nagaland",Nagaland
56,"ICFAI University, Jaipur",Rajasthan
57,"ICFAI University, Raipur",Chhattisgarh
58,"ICFAI University, Himachal Pradesh",Himachal Pradesh
59,"ICFAI University, Hyderabad",Telangana
60,Indian Institute of Information Technology Allahabad,Uttar Pradesh
61,Indian Institute of Information Technology and Management - Kerala,Kerala
62,"Indraprastha Institute of Information Technology, Delhi",Delhi
63,"International Institute of Information Technology, Pune",Maharashtra
64,"International Institute of Information Technology, Bhubaneswar",Odisha
65,"International Institute of Information Technology, Bangalore",Karnataka
66,"Indian Institute of Management, Tiruchirappalli",Tamil Nadu
67,"Indian Institute of Information Technology, Guwahati",Assam
68,"Indian Institute of Information Technology, Vadodara",Gujarat
69,"Indian Institute of Information Technology, Kota",Rajasthan
70,International Institute for Population Sciences,Maharashtra
71,Indian Institute of Science,Karnataka
72,"Indian Institute of Technology, Bombay",Maharashtra
73,"Indian Institute of Technology, Delhi",Delhi
74,"Indian Institute of Technology, Gandhinagar",Gujarat
75,"Indian Institute of Technology, Guwahati",Assam
76,"Indian Institute of Technology, Hyderabad",Telangana
77,"Indian Institute of Technology, Kanpur",Uttar Pradesh
78,"Indian Institute of Technology, Kharagpur",West Bengal
79,"Indian Institute of Technology, Madras",Tamil Nadu
80,Madras Institute of Technology,Tamil Nadu
81,"Indian Institute of Technology, Roorkee",Uttarakhand
82,"Indian Institute of Technology, Patna",Bihar
83,"Indian Institute of Technology, Indore",Madhya Pradesh
84,"Indian Institute of Technology, Jodhpur",Rajasthan
85,Indian Law Institue,Delhi
86,Jadavpur University,West Bengal
87,University of Jammu,Jammu
88,Jamia Millia Islamia University,Delhi
89,Jawaharlal Nehru University,Delhi
90,Jaipur National University,Rajasthan
91,Jodhpur National University,Rajasthan
92,Rajasthan Vidyapeeth University,Rajasthan
93,Kalinga University,Chhattisgarh
94,Kannada University,Karnataka
95,Karnataka State Open University,Karnataka
96,Karpagam University,Tamil Nadu
97,Karunya Institute Of Technology,Tamil Nadu
98,University of Kashmir,Kashmir
99,Kerala Agricultural University,Kerala
100,University of Kerala,Kerala
101,Karnataka State Law University,Karnataka
102,Kerala University of Fisheries and Ocean Sciences,Kerala
103,Kumaraguru College of Technology,Tamil Nadu
104,University of Lucknow,Uttar Pradesh
105,Mangalore University,Karnataka
106,Manipal University,Karnataka
107,Manipur University,Manipur
108,"Maharishi Dayanand University, Rohtak",Haryana
109,"Mahatma Gandhi University, Kerala",Kerala
110,Madurai Kamaraj University,Tamil Nadu
111,Madhya Pradesh Bhoj (Open) University,Madhya Pradesh
112,University of Mumbai,Maharashtra
113,Nagaland University,Nagaland
114,Nagpur University,Maharashtra
115,University of North Bengal,West Bengal
116,Hemchandracharay North Gujarat University,Gujarat
117,National Institute of Technology Andhra Pradesh,Andhra Pradesh
118,National Institute of Technology Arunachal Pradesh,Arunachal Pradesh
119,National Institute of Technology Calicut,Kerala
120,National Institute of Technology Delhi,Delhi
121,National Institute of Technology Durgapur,West Bengal
122,National Institute of Technology Goa,Goa
123,National Institute of Technology Hamirpur,Himachal Pradesh
124,National Institute of Technology Jamshedpur,Jharkhand
125,National Institute of Technology Kurukshetra,Haryana
126,National Institute of Technology Manipur,Manipur
127,National Institute of Technology Meghalaya,Meghalaya
128,National Institute of Technology Mizoram,Mizoram
129,National Institute of Technology Nagaland,Nagaland
130,National Institute of Technology Patna,Bihar
131,National Institute of Technology Puducherry,Puducherry
132,National Institute of Technology Raipur,Chhattisgarh
133,National Institute of Technology Rourkela,Odisha
134,National Institute of Technology Sikkim,Sikkim
135,National Institute of Technology Silchar,Assam
136,National Institute of Technology Srinagar,Jammu and Kashmir
137,National Institute of Technology Surathkal,Karnataka
138,National Institute of Technology Trichy,Tamil Nadu
139,National Institute of Technology Uttarakhand,Uttarakhand
140,National Institute of Technology Warangal,Telangana
141,North Maharashtra University,Maharashtra
142,Punjab Agricultural University,Punjab
143,Punjab Engineering College,Punjab
144,PES University,Karnataka
145,Postgraduate lnstitute of Medical Education and Research,Punjab and Haryana
146,Pondicherry University,Puducherry
147,PSG College of Technology,Tamil Nadu
148,Punjab Technical University,Punjab
149,Panjab University,Punjab
150,Punjabi University Patiala,Punjab
151,Patna University,Bihar
152,Ranchi University,Jharkhand
153,"Rajasthan Agricultural University, Bikaner",Rajasthan
154,Rajiv Gandhi Technical University (University of Technology of Madhya Pradesh),Madhya Pradesh
155,Rajasthan Technical University,Rajasthan
156,SASTRA University,Tamil Nadu
157,Sathyabama University,Tamil Nadu
158,"Sikkim Manipal University of Health, Medical and Technological Sciences",Sikkim
159,School of Planning and Architecture,Delhi
160,Periyar University,Tamil Nadu
161,SRM Institute Of Science & Technology,Tamil Nadu
162,Tamil University,Tamil Nadu
163,Tamil Nadu Veterinary and Animal Sciences University,Tamil Nadu
164,Thiagarajar College of Engineering,Tamil Nadu
165,Potti Sreeramulu Telugu University,Telangana
166,The New College,Tamil Nadu
167,Thapar Institute of Engineering and Technology,Punjab
168,Tamil Nadu Dr. Ambedkar Law University,Tamil Nadu
169,Tamil Nadu Dr. M.G.R. Medical University,Tamil Nadu
170,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh
171,Malaviya National Institute of Technology Jaipur,Rajasthan
172,Thiruvalluvar University,Tamil Nadu
173,"University of Agricultural Sciences, Bangalore",Karnataka
174,Uttarakhand Technical University,Uttarakhand
175,University of Calicut,Kerala
176,Goa University,Goa
177,University of Mysore,Karnataka
178,University of Pune,Maharashtra
179,University of Rajasthan,Rajasthan
180,University of Madras,Tamil Nadu
181,University of Hyderabad,Telangana
182,Uttarakhand Open University,Uttarakhand
183,Uttar Pradesh Technical University,Uttar Pradesh
184,Vellore Institute of Technology,Tamil Nadu
185,Visvesvaraya National Institute of Technology,Maharashtra
186,Visvesvaraya Technological University,Karnataka
187,West Bengal University of Animal and Fishery Sciences,West Bengal
188,West Bengal University of Technology,West Bengal
189,Navrachana University,Gujarat
190,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Madhya Pradesh
191,IIT Bhubaneswar,Odisha
192,SRM University,Andhra Pradesh
193,Uttaranchal University,Uttarakhand
194,"University College, Thiruvananthapuram",Kerala
195,Panimalar Engineering College,Tamil Nadu
196,Rajalakshmi Engineering College,Tamil Nadu
197,St Joseph's College Of Engineering,Tamil Nadu
198,St Joseph's Institute Of Technology,Tamil Nadu
199,Sri Sivasubramaniya Nadar Institutions,Tamil Nadu
200,Saveetha Engineering College,Tamil Nadu
201,Sri Venkateswara College of Engineering,Tamil Nadu
202,Easwari Engineering College,Tamil Nadu
203,Jeppiar Engineering College,Tamil Nadu
204,Rajalakshmi Institute of Technology,Tamil Nadu
205,Saveetha School of Engineering,Tamil Nadu
206,Saveetha University,Tamil Nadu
207,KCG College of Technology,Tamil Nadu
208,Hindustan Institute of Technology and Science,Tamil Nadu
209,Chennai Institute of Technology,Tamil Nadu
210,Sri Sai Ram Engineering College,Tamil Nadu
211,Loyola-ICAM College of Engineering and Technology,Tamil Nadu
212,Sri Sai Ram Institute of Technology,Tamil Nadu
213,RMK Engineering College,Tamil Nadu
214,RMK College of Engineering and Technology,Tamil Nadu
215,RMD Engineering College,Tamil Nadu
216,Velammal Engineering College,Tamil Nadu
217,Velammal Institute of Technology,Tamil Nadu
218,Prathyusha Engineering College,Tamil Nadu
219,Alpha College of Engineering,Tamil Nadu
220,SA Engineering College,Tamil Nadu
